Offer,Total Cost of Loan,Down Payment,Principle,Rate,Down Payment: Percent of Total Offer,Monthly Payment,25% Total Cost of Loan,30% Total Cost of Loan,25% of Total Monthly Payment,30% of Total Monthly Payment,25% of Down Payment,30% of Down Payment,Rent 1,Rent 2,Rent 3,25% Payment - 25% Rent 1,30% Payment - 30% Rent 1,25% Payment - 25% Rent 2,30% Payment - 30% Rent 2,25% Payment - 25% Rent 3,30% Payment - 30 % Rent 3
825000,768498.1715788232,350000,475000,0.07,0.42424242424242425,4269.434286549018,192124.5428947058,230549.45147364697,1067.3585716372545,1280.8302859647054,87500.0,105000.0,5000,6000,7000,754.8585716372545,830.8302859647054,692.3585716372545,740.8302859647054,629.8585716372545,650.8302859647054
800000,768498.1715788232,325000,475000,0.07,0.40625,4269.434286549018,192124.5428947058,230549.45147364697,1067.3585716372545,1280.8302859647054,81250.0,97500.0,5000,6000,7000,754.8585716372545,830.8302859647054,692.3585716372545,740.8302859647054,629.8585716372545,650.8302859647054
775000,768498.1715788232,300000,475000,0.07,0.3870967741935484,4269.434286549018,192124.5428947058,230549.45147364697,1067.3585716372545,1280.8302859647054,75000.0,90000.0,5000,6000,7000,754.8585716372545,830.8302859647054,692.3585716372545,740.8302859647054,629.8585716372545,650.8302859647054
875000,792595.5678023349,400000,475000,0.075,0.45714285714285713,4403.3087100129715,198148.89195058373,237778.67034070045,1100.8271775032429,1320.9926130038914,100000.0,120000.0,5000,6000,7000,788.3271775032429,870.9926130038914,725.8271775032429,780.9926130038914,663.3271775032429,690.9926130038914
850000,792595.5678023349,375000,475000,0.075,0.4411764705882353,4403.3087100129715,198148.89195058373,237778.67034070045,1100.8271775032429,1320.9926130038914,93750.0,112500.0,5000,6000,7000,788.3271775032429,870.9926130038914,725.8271775032429,780.9926130038914,663.3271775032429,690.9926130038914
825000,792595.5678023349,350000,475000,0.075,0.42424242424242425,4403.3087100129715,198148.89195058373,237778.67034070045,1100.8271775032429,1320.9926130038914,87500.0,105000.0,5000,6000,7000,788.3271775032429,870.9926130038914,725.8271775032429,780.9926130038914,663.3271775032429,690.9926130038914
800000,792595.5678023349,325000,475000,0.075,0.40625,4403.3087100129715,198148.89195058373,237778.67034070045,1100.8271775032429,1320.9926130038914,81250.0,97500.0,5000,6000,7000,788.3271775032429,870.9926130038914,725.8271775032429,780.9926130038914,663.3271775032429,690.9926130038914
775000,792595.5678023349,300000,475000,0.075,0.3870967741935484,4403.3087100129715,198148.89195058373,237778.67034070045,1100.8271775032429,1320.9926130038914,75000.0,90000.0,5000,6000,7000,788.3271775032429,870.9926130038914,725.8271775032429,780.9926130038914,663.3271775032429,690.9926130038914
900000,759471.1452436162,400000,500000,0.06,0.4444444444444444,4219.284140242312,189867.78631090405,227841.34357308486,1054.821035060578,1265.7852420726936,100000.0,120000.0,5000,6000,7000,742.321035060578,815.7852420726936,679.821035060578,725.7852420726936,617.321035060578,635.7852420726936
875000,759471.1452436162,375000,500000,0.06,0.42857142857142855,4219.284140242312,189867.78631090405,227841.34357308486,1054.821035060578,1265.7852420726936,93750.0,112500.0,5000,6000,7000,742.321035060578,815.7852420726936,679.821035060578,725.7852420726936,617.321035060578,635.7852420726936
850000,759471.1452436162,350000,500000,0.06,0.4117647058823529,4219.284140242312,189867.78631090405,227841.34357308486,1054.821035060578,1265.7852420726936,87500.0,105000.0,5000,6000,7000,742.321035060578,815.7852420726936,679.821035060578,725.7852420726936,617.321035060578,635.7852420726936
825000,759471.1452436162,325000,500000,0.06,0.3939393939393939,4219.284140242312,189867.78631090405,227841.34357308486,1054.821035060578,1265.7852420726936,81250.0,97500.0,5000,6000,7000,742.321035060578,815.7852420726936,679.821035060578,725.7852420726936,617.321035060578,635.7852420726936
800000,759471.1452436162,300000,500000,0.06,0.375,4219.284140242312,189867.78631090405,227841.34357308486,1054.821035060578,1265.7852420726936,75000.0,90000.0,5000,6000,7000,742.321035060578,815.7852420726936,679.821035060578,725.7852420726936,617.321035060578,635.7852420726936
900000,783996.6287676289,400000,500000,0.065,0.4444444444444444,4355.5368264868275,195999.15719190723,235198.98863028866,1088.8842066217069,1306.6610479460483,100000.0,120000.0,5000,6000,7000,776.3842066217069,856.6610479460483,713.8842066217069,766.6610479460483,651.3842066217069,676.6610479460483
875000,783996.6287676289,375000,500000,0.065,0.42857142857142855,4355.5368264868275,195999.15719190723,235198.98863028866,1088.8842066217069,1306.6610479460483,93750.0,112500.0,5000,6000,7000,776.3842066217069,856.6610479460483,713.8842066217069,766.6610479460483,651.3842066217069,676.6610479460483
850000,783996.6287676289,350000,500000,0.065,0.4117647058823529,4355.5368264868275,195999.15719190723,235198.98863028866,1088.8842066217069,1306.6610479460483,87500.0,105000.0,5000,6000,7000,776.3842066217069,856.6610479460483,713.8842066217069,766.6610479460483,651.3842066217069,676.6610479460483
825000,783996.6287676289,325000,500000,0.065,0.3939393939393939,4355.5368264868275,195999.15719190723,235198.98863028866,1088.8842066217069,1306.6610479460483,81250.0,97500.0,5000,6000,7000,776.3842066217069,856.6610479460483,713.8842066217069,766.6610479460483,651.3842066217069,676.6610479460483
800000,783996.6287676289,300000,500000,0.065,0.375,4355.5368264868275,195999.15719190723,235198.98863028866,1088.8842066217069,1306.6610479460483,75000.0,90000.0,5000,6000,7000,776.3842066217069,856.6610479460483,713.8842066217069,766.6610479460483,651.3842066217069,676.6610479460483
900000,808945.4437671823,400000,500000,0.07,0.4444444444444444,4494.141354262124,202236.36094179557,242683.6331301547,1123.535338565531,1348.2424062786372,100000.0,120000.0,5000,6000,7000,811.035338565531,898.2424062786372,748.535338565531,808.2424062786372,686.035338565531,718.2424062786372
875000,808945.4437671823,375000,500000,0.07,0.42857142857142855,4494.141354262124,202236.36094179557,242683.6331301547,1123.535338565531,1348.2424062786372,93750.0,112500.0,5000,6000,7000,811.035338565531,898.2424062786372,748.535338565531,808.2424062786372,686.035338565531,718.2424062786372
850000,808945.4437671823,350000,500000,0.07,0.4117647058823529,4494.141354262124,202236.36094179557,242683.6331301547,1123.535338565531,1348.2424062786372,87500.0,105000.0,5000,6000,7000,811.035338565531,898.2424062786372,748.535338565531,808.2424062786372,686.035338565531,718.2424062786372
825000,808945.4437671823,325000,500000,0.07,0.3939393939393939,4494.141354262124,202236.36094179557,242683.6331301547,1123.535338565531,1348.2424062786372,81250.0,97500.0,5000,6000,7000,811.035338565531,898.2424062786372,748.535338565531,808.2424062786372,686.035338565531,718.2424062786372
800000,808945.4437671823,300000,500000,0.07,0.375,4494.141354262124,202236.36094179557,242683.6331301547,1123.535338565531,1348.2424062786372,75000.0,90000.0,5000,6000,7000,811.035338565531,898.2424062786372,748.535338565531,808.2424062786372,686.035338565531,718.2424062786372
900000,834311.1240024578,400000,500000,0.075,0.4444444444444444,4635.061800013655,208577.78100061446,250293.33720073733,1158.7654500034137,1390.5185400040964,100000.0,120000.0,5000,6000,7000,846.2654500034137,940.5185400040964,783.7654500034137,850.5185400040964,721.2654500034137,760.5185400040964
875000,834311.1240024578,375000,500000,0.075,0.42857142857142855,4635.061800013655,208577.78100061446,250293.33720073733,1158.7654500034137,1390.5185400040964,93750.0,112500.0,5000,6000,7000,846.2654500034137,940.5185400040964,783.7654500034137,850.5185400040964,721.2654500034137,760.5185400040964
850000,834311.1240024578,350000,500000,0.075,0.4117647058823529,4635.061800013655,208577.78100061446,250293.33720073733,1158.7654500034137,1390.5185400040964,87500.0,105000.0,5000,6000,7000,846.2654500034137,940.5185400040964,783.7654500034137,850.5185400040964,721.2654500034137,760.5185400040964
